subject_index,pipeline,condition,subject,test_single_trial_accuracy-mean,test_accuracy_reps_1-mean,test_accuracy_reps_2-mean,test_accuracy_reps_3-mean,test_accuracy_reps_4-mean,test_accuracy_reps_5-mean,test_accuracy_reps_6-mean,test_accuracy_reps_7-mean,test_accuracy_reps_8-mean,test_accuracy_reps_9-mean,test_accuracy_reps_10-mean,test_roc_auc-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus,test_accuracy_reps_1-ci_lower,test_accuracy_reps_1-ci_upper,test_accuracy_reps_1-ci_minus,test_accuracy_reps_1-ci_plus,test_accuracy_reps_2-ci_lower,test_accuracy_reps_2-ci_upper,test_accuracy_reps_2-ci_minus,test_accuracy_reps_2-ci_plus,test_accuracy_reps_3-ci_lower,test_accuracy_reps_3-ci_upper,test_accuracy_reps_3-ci_minus,test_accuracy_reps_3-ci_plus,test_accuracy_reps_4-ci_lower,test_accuracy_reps_4-ci_upper,test_accuracy_reps_4-ci_minus,test_accuracy_reps_4-ci_plus,test_accuracy_reps_5-ci_lower,test_accuracy_reps_5-ci_upper,test_accuracy_reps_5-ci_minus,test_accuracy_reps_5-ci_plus,test_accuracy_reps_6-ci_lower,test_accuracy_reps_6-ci_upper,test_accuracy_reps_6-ci_minus,test_accuracy_reps_6-ci_plus,test_accuracy_reps_7-ci_lower,test_accuracy_reps_7-ci_upper,test_accuracy_reps_7-ci_minus,test_accuracy_reps_7-ci_plus,test_accuracy_reps_8-ci_lower,test_accuracy_reps_8-ci_upper,test_accuracy_reps_8-ci_minus,test_accuracy_reps_8-ci_plus,test_accuracy_reps_9-ci_lower,test_accuracy_reps_9-ci_upper,test_accuracy_reps_9-ci_minus,test_accuracy_reps_9-ci_plus,test_accuracy_reps_10-ci_lower,test_accuracy_reps_10-ci_upper,test_accuracy_reps_10-ci_minus,test_accuracy_reps_10-ci_plus,test_roc_auc-ci_lower,test_roc_auc-ci_upper,test_roc_auc-ci_minus,test_roc_auc-ci_plus
0,WCBLE,covert,A1,21.666666666666668,16.666666666666668,0.0,0.0,16.666666666666668,33.333333333333336,50.0,16.666666666666668,33.333333333333336,16.666666666666668,33.333333333333336,58.48893028691587,16.666666666666668,26.666666666666668,5.0,5.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,53.52103989200763,64.75423881673882,4.967890394908238,6.265308529822953
1,WCBLE,covert,B1,35.0,66.66666666666667,50.0,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,50.0,66.66666666666667,66.66666666666667,100.0,70.73408740436312,20.0,50.0,15.0,15.0,33.333333333333336,100.0,33.333333333333336,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,100.0,33.333333333333336,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,100.0,100.0,0.0,0.0,66.38424104050756,75.65180447410704,4.349846363855562,4.917717069743915
2,WCBLE,covert,B2,35.0,33.333333333333336,66.66666666666667,50.0,50.0,50.0,50.0,50.0,50.0,66.66666666666667,66.66666666666667,65.50820366216065,16.666666666666668,56.666666666666664,18.333333333333332,21.666666666666664,0.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,100.0,33.333333333333336,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,57.249378368530266,75.36646621748426,8.258825293630387,9.858262555323606
3,WCBLE,covert,B4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.61219331550526,5.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.50445396764252,53.35893266476517,6.10773934786274,4.7467393492599115
4,WCBLE,covert,C2,23.333333333333332,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,50.0,50.0,33.333333333333336,59.7478002526588,13.333333333333334,31.666666666666668,9.999999999999998,8.333333333333336,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,52.40981240981241,66.85068941282584,7.337987842846388,7.102889160167045
5,WCBLE,covert,C3,15.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0,45.504688037739335,8.333333333333334,20.0,6.666666666666666,5.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,0.0,0.0,0.0,35.879868412919706,54.61816472498651,9.62481962481963,9.113476687247172
6,WCBLE,covert,C4,30.0,16.666666666666668,16.666666666666668,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,50.0,66.66666666666667,63.469659096828984,25.0,35.0,5.0,5.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,100.0,33.333333333333336,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,55.59046428611645,70.0861813725378,7.879194810712534,6.61652227570881
