subject_index,cond_train,cond_test,subject,test_single_trial_accuracy-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus
0,free,overt,PA1,40.0,30.0,50.0,10.0,10.0
1,free,overt,PB03,18.333333333333332,8.333333333333334,28.333333333333332,9.999999999999998,10.0
2,free,overt,PB1,81.66666666666667,76.66666666666667,86.66666666666667,5.0,5.0
3,free,overt,PB2,55.0,43.333333333333336,66.66666666666667,11.666666666666664,11.666666666666671
4,free,overt,PB4,56.666666666666664,43.333333333333336,70.0,13.333333333333329,13.333333333333336
5,free,overt,PC2,31.666666666666668,26.666666666666668,36.666666666666664,5.0,4.9999999999999964
6,free,overt,PC3,21.666666666666668,16.666666666666668,26.666666666666668,5.0,5.0
7,free,overt,PC4,15.0,8.333333333333334,20.0,6.666666666666666,5.0
