subject_index,pipeline,condition,subject,test_single_trial_accuracy-mean,test_accuracy_reps_1-mean,test_accuracy_reps_2-mean,test_accuracy_reps_3-mean,test_accuracy_reps_4-mean,test_accuracy_reps_5-mean,test_accuracy_reps_6-mean,test_accuracy_reps_7-mean,test_accuracy_reps_8-mean,test_accuracy_reps_9-mean,test_accuracy_reps_10-mean,test_roc_auc-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus,test_accuracy_reps_1-ci_lower,test_accuracy_reps_1-ci_upper,test_accuracy_reps_1-ci_minus,test_accuracy_reps_1-ci_plus,test_accuracy_reps_2-ci_lower,test_accuracy_reps_2-ci_upper,test_accuracy_reps_2-ci_minus,test_accuracy_reps_2-ci_plus,test_accuracy_reps_3-ci_lower,test_accuracy_reps_3-ci_upper,test_accuracy_reps_3-ci_minus,test_accuracy_reps_3-ci_plus,test_accuracy_reps_4-ci_lower,test_accuracy_reps_4-ci_upper,test_accuracy_reps_4-ci_minus,test_accuracy_reps_4-ci_plus,test_accuracy_reps_5-ci_lower,test_accuracy_reps_5-ci_upper,test_accuracy_reps_5-ci_minus,test_accuracy_reps_5-ci_plus,test_accuracy_reps_6-ci_lower,test_accuracy_reps_6-ci_upper,test_accuracy_reps_6-ci_minus,test_accuracy_reps_6-ci_plus,test_accuracy_reps_7-ci_lower,test_accuracy_reps_7-ci_upper,test_accuracy_reps_7-ci_minus,test_accuracy_reps_7-ci_plus,test_accuracy_reps_8-ci_lower,test_accuracy_reps_8-ci_upper,test_accuracy_reps_8-ci_minus,test_accuracy_reps_8-ci_plus,test_accuracy_reps_9-ci_lower,test_accuracy_reps_9-ci_upper,test_accuracy_reps_9-ci_minus,test_accuracy_reps_9-ci_plus,test_accuracy_reps_10-ci_lower,test_accuracy_reps_10-ci_upper,test_accuracy_reps_10-ci_minus,test_accuracy_reps_10-ci_plus,test_roc_auc-ci_lower,test_roc_auc-ci_upper,test_roc_auc-ci_minus,test_roc_auc-ci_plus
0,WCBLE,free,PA1,25.0,16.666666666666668,16.666666666666668,50.0,33.333333333333336,50.0,50.0,50.0,83.33333333333333,83.33333333333333,83.33333333333333,65.55865309553835,20.0,35.0,5.0,10.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,50.0,100.0,33.33333333333333,16.66666666666667,50.0,100.0,33.33333333333333,16.66666666666667,50.0,100.0,33.33333333333333,16.66666666666667,60.77289377289378,71.02852338917913,4.785759322644566,5.469870293640781
1,WCBLE,free,PB1,71.66666666666667,66.66666666666667,100.0,83.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.54299343643606,63.333333333333336,80.0,8.333333333333336,8.333333333333329,33.333333333333336,100.0,33.333333333333336,33.33333333333333,100.0,100.0,0.0,0.0,50.0,100.0,33.33333333333333,16.66666666666667,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,86.62448662448662,92.10096016106945,2.9185068119494417,2.5579667246333884
2,WCBLE,free,PB2,50.0,50.0,66.66666666666667,100.0,66.66666666666667,66.66666666666667,83.33333333333333,83.33333333333333,100.0,83.33333333333333,100.0,78.36085336200571,38.333333333333336,61.666666666666664,11.666666666666664,11.666666666666664,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,100.0,100.0,0.0,0.0,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,50.0,100.0,33.33333333333333,16.66666666666667,50.0,100.0,33.33333333333333,16.66666666666667,100.0,100.0,0.0,0.0,50.0,100.0,33.33333333333333,16.66666666666667,100.0,100.0,0.0,0.0,71.88844763153547,84.59543614401267,6.472405730470243,6.234582782006953
3,WCBLE,free,PB4,68.33333333333333,66.66666666666667,66.66666666666667,66.66666666666667,83.33333333333333,83.33333333333333,100.0,100.0,100.0,100.0,100.0,86.2744475168693,51.666666666666664,80.0,16.666666666666664,11.666666666666671,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,50.0,100.0,33.33333333333333,16.66666666666667,50.0,100.0,33.33333333333333,16.66666666666667,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,79.12970933686283,93.09537548698388,7.14473818000647,6.820927970114582
4,WCBLE,free,PC2,28.333333333333332,33.333333333333336,66.66666666666667,66.66666666666667,83.33333333333333,83.33333333333333,83.33333333333333,100.0,100.0,100.0,100.0,70.9346342978515,21.666666666666668,35.0,6.666666666666664,6.666666666666668,0.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,50.0,100.0,33.33333333333333,16.66666666666667,50.0,100.0,33.33333333333333,16.66666666666667,50.0,100.0,33.33333333333333,16.66666666666667,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,68.0795343090425,73.93422549672549,2.855099988809002,2.9995911988739863
5,WCBLE,free,PC3,21.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,33.333333333333336,33.333333333333336,33.333333333333336,0.0,16.666666666666668,16.666666666666668,16.666666666666668,59.4632564689,6.666666666666667,38.333333333333336,15.0,16.666666666666668,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,55.58074782612065,63.460241265326026,3.8825086427793494,3.9969847964260268
6,WCBLE,free,PC4,13.333333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,52.11132328731049,5.0,21.666666666666668,8.333333333333334,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,46.118293579563044,56.70915718671001,5.993029707747446,4.597833899399518
