subject_index,cond_train,cond_test,subject,test_single_trial_accuracy-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus
0,covert,free,PA1,18.333333333333332,11.666666666666666,25.0,6.666666666666666,6.666666666666668
1,covert,free,PB1,55.0,45.0,66.66666666666667,10.0,11.666666666666671
2,covert,free,PB2,31.666666666666668,20.0,41.666666666666664,11.666666666666668,9.999999999999996
3,covert,free,PB4,28.333333333333332,13.333333333333334,41.666666666666664,14.999999999999998,13.333333333333332
4,covert,free,PC2,28.333333333333332,18.333333333333332,40.0,10.0,11.666666666666668
5,covert,free,PC3,18.333333333333332,10.0,25.0,8.333333333333332,6.666666666666668
6,covert,free,PC4,16.666666666666668,6.666666666666667,26.666666666666668,10.0,10.0
