subject_index,pipeline,condition,subject,test_single_trial_accuracy-mean,test_accuracy_reps_1-mean,test_accuracy_reps_2-mean,test_accuracy_reps_3-mean,test_accuracy_reps_4-mean,test_accuracy_reps_5-mean,test_accuracy_reps_6-mean,test_accuracy_reps_7-mean,test_accuracy_reps_8-mean,test_accuracy_reps_9-mean,test_accuracy_reps_10-mean,test_roc_auc-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus,test_accuracy_reps_1-ci_lower,test_accuracy_reps_1-ci_upper,test_accuracy_reps_1-ci_minus,test_accuracy_reps_1-ci_plus,test_accuracy_reps_2-ci_lower,test_accuracy_reps_2-ci_upper,test_accuracy_reps_2-ci_minus,test_accuracy_reps_2-ci_plus,test_accuracy_reps_3-ci_lower,test_accuracy_reps_3-ci_upper,test_accuracy_reps_3-ci_minus,test_accuracy_reps_3-ci_plus,test_accuracy_reps_4-ci_lower,test_accuracy_reps_4-ci_upper,test_accuracy_reps_4-ci_minus,test_accuracy_reps_4-ci_plus,test_accuracy_reps_5-ci_lower,test_accuracy_reps_5-ci_upper,test_accuracy_reps_5-ci_minus,test_accuracy_reps_5-ci_plus,test_accuracy_reps_6-ci_lower,test_accuracy_reps_6-ci_upper,test_accuracy_reps_6-ci_minus,test_accuracy_reps_6-ci_plus,test_accuracy_reps_7-ci_lower,test_accuracy_reps_7-ci_upper,test_accuracy_reps_7-ci_minus,test_accuracy_reps_7-ci_plus,test_accuracy_reps_8-ci_lower,test_accuracy_reps_8-ci_upper,test_accuracy_reps_8-ci_minus,test_accuracy_reps_8-ci_plus,test_accuracy_reps_9-ci_lower,test_accuracy_reps_9-ci_upper,test_accuracy_reps_9-ci_minus,test_accuracy_reps_9-ci_plus,test_accuracy_reps_10-ci_lower,test_accuracy_reps_10-ci_upper,test_accuracy_reps_10-ci_minus,test_accuracy_reps_10-ci_plus,test_roc_auc-ci_lower,test_roc_auc-ci_upper,test_roc_auc-ci_minus,test_roc_auc-ci_plus
0,XDAWNCov+TS+LDA,covert,PA1,35.0,0.0,16.666666666666668,16.666666666666668,33.333333333333336,33.333333333333336,50.0,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,64.3144669425253,25.0,45.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,60.07830473877601,69.22348484848484,4.236162203749288,4.909017905959544
1,XDAWNCov+TS+LDA,covert,PB1,33.333333333333336,16.666666666666668,50.0,33.333333333333336,16.666666666666668,16.666666666666668,50.0,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,68.52450288013938,16.666666666666668,53.333333333333336,16.666666666666668,20.0,0.0,50.0,16.666666666666668,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,100.0,33.333333333333336,33.33333333333333,33.333333333333336,100.0,33.333333333333336,33.33333333333333,61.84596970688985,76.53680049477292,6.6785331732495266,8.012297614633539
2,XDAWNCov+TS+LDA,covert,PB2,31.666666666666668,33.333333333333336,16.666666666666668,33.333333333333336,33.333333333333336,33.333333333333336,16.666666666666668,16.666666666666668,33.333333333333336,33.333333333333336,33.333333333333336,58.01280443778514,18.333333333333332,46.666666666666664,13.333333333333336,14.999999999999996,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,50.99900347381726,65.8569503471082,7.013800963967881,7.8441459093230534
3,XDAWNCov+TS+LDA,covert,PB4,18.333333333333332,0.0,16.666666666666668,33.333333333333336,50.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,48.17470147036136,11.666666666666666,28.333333333333332,6.666666666666666,10.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.673371203406106,53.43263224603579,5.501330266955257,5.257930775674424
4,XDAWNCov+TS+LDA,covert,PC2,18.333333333333332,33.333333333333336,33.333333333333336,16.666666666666668,16.666666666666668,16.666666666666668,33.333333333333336,16.666666666666668,33.333333333333336,16.666666666666668,33.333333333333336,51.65217798976392,8.333333333333334,31.666666666666668,9.999999999999998,13.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,50.0,16.666666666666668,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,45.38254036931985,57.76523879346461,6.2696376204440725,6.113060803700691
5,XDAWNCov+TS+LDA,covert,PC3,10.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,48.522380920652516,3.3333333333333335,16.666666666666668,6.666666666666666,6.666666666666668,0.0,50.0,16.666666666666668,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,0.0,50.0,16.666666666666668,33.33333333333333,45.24704500114336,51.79771684016166,3.2753359195091534,3.2753359195091463
6,XDAWNCov+TS+LDA,covert,PC4,25.0,16.666666666666668,50.0,33.333333333333336,33.333333333333336,33.333333333333336,50.0,50.0,50.0,50.0,33.333333333333336,53.80723108014797,16.666666666666668,36.666666666666664,8.333333333333332,11.666666666666664,0.0,50.0,16.666666666666668,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336,33.333333333333336,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,16.666666666666668,83.33333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,33.333333333333336,33.333333333333336,46.89212154314467,61.09704455319783,6.915109537003303,7.289813473049861
