subject_index,subject,condition,mean-WCBLE,mean-XDAWNCov+TS+LDA,mean-tLDA,ci_minus-WCBLE,ci_minus-XDAWNCov+TS+LDA,ci_minus-tLDA,ci_plus-WCBLE,ci_plus-XDAWNCov+TS+LDA,ci_plus-tLDA
0,PA1,covert,21.666666666666668,35.0,23.333333333333332,5.0,10.0,6.666666666666664,5.0,10.0,8.333333333333336
1,PB1,covert,35.0,33.333333333333336,33.333333333333336,15.0,16.666666666666668,15.000000000000004,15.0,20.0,15.0
2,PB2,covert,35.0,31.666666666666668,30.0,18.333333333333332,13.333333333333336,11.666666666666668,21.666666666666664,14.999999999999996,13.333333333333336
3,PB4,covert,10.0,18.333333333333332,15.0,5.0,6.666666666666666,6.666666666666666,5.0,10.0,6.666666666666668
4,PC2,covert,23.333333333333332,18.333333333333332,21.666666666666668,9.999999999999998,11.666666666666664,11.666666666666668,10.000000000000004,13.333333333333336,10.0
5,PC3,covert,15.0,10.0,15.0,6.666666666666666,6.666666666666666,8.333333333333332,5.0,6.666666666666668,8.333333333333332
6,PC4,covert,30.0,25.0,31.666666666666668,5.0,8.333333333333332,11.666666666666668,5.0,11.666666666666664,9.999999999999996
