subject_index,subject,condition,mean-WCBLE,mean-XDAWNCov+TS+LDA,mean-tLDA,ci_minus-WCBLE,ci_minus-XDAWNCov+TS+LDA,ci_minus-tLDA,ci_plus-WCBLE,ci_plus-XDAWNCov+TS+LDA,ci_plus-tLDA
0,PA1,free,25.0,31.666666666666668,40.0,5.0,11.666666666666668,10.0,10.0,9.999999999999996,10.0
1,PB1,free,71.66666666666667,58.333333333333336,81.66666666666667,8.333333333333336,15.0,5.0,8.333333333333329,13.333333333333336,5.0
2,PB2,free,50.0,33.333333333333336,55.0,11.666666666666664,8.333333333333336,11.666666666666664,11.666666666666664,8.333333333333329,11.666666666666671
3,PB4,free,68.33333333333333,58.333333333333336,56.666666666666664,16.666666666666664,10.0,13.333333333333329,11.666666666666671,9.999999999999993,13.333333333333336
4,PC2,free,28.333333333333332,35.0,31.666666666666668,6.666666666666664,8.333333333333332,5.0,6.666666666666668,8.333333333333336,4.9999999999999964
5,PC3,free,21.666666666666668,21.666666666666668,21.666666666666668,15.0,11.666666666666668,5.0,14.999999999999996,13.333333333333332,5.0
6,PC4,free,13.333333333333334,26.666666666666668,15.0,8.333333333333334,6.666666666666668,6.666666666666666,8.333333333333334,3.333333333333332,5.0
