subject_index,cond_train,cond_test,subject,test_single_trial_accuracy-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus
0,overt,free,PA1,36.666666666666664,28.333333333333332,46.666666666666664,8.333333333333332,10.0
1,overt,free,PB1,76.66666666666667,68.33333333333333,85.0,8.333333333333343,8.333333333333329
2,overt,free,PB2,56.666666666666664,43.333333333333336,70.0,13.333333333333329,13.333333333333336
3,overt,free,PB4,53.333333333333336,43.333333333333336,61.666666666666664,10.0,8.333333333333329
4,overt,free,PC2,36.666666666666664,28.333333333333332,46.666666666666664,8.333333333333332,10.0
5,overt,free,PC3,28.333333333333332,20.0,36.666666666666664,8.333333333333332,8.333333333333332
6,overt,free,PC4,15.0,3.3333333333333335,30.0,11.666666666666666,15.0
