subject_index,cond_train,cond_test,subject,test_single_trial_accuracy-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus
0,free,overt,PA1,35.0,26.666666666666668,43.333333333333336,8.333333333333332,8.333333333333336
1,free,overt,PB1,85.0,76.66666666666667,91.66666666666667,8.333333333333329,6.666666666666671
2,free,overt,PB2,61.666666666666664,51.666666666666664,75.0,10.0,13.333333333333336
3,free,overt,PB4,58.333333333333336,38.333333333333336,80.0,20.0,21.666666666666664
4,free,overt,PC2,35.0,23.333333333333332,46.666666666666664,11.666666666666668,11.666666666666664
5,free,overt,PC3,31.666666666666668,15.0,48.333333333333336,16.666666666666668,16.666666666666668
6,free,overt,PC4,15.0,6.666666666666667,23.333333333333332,8.333333333333332,8.333333333333332
