subject_index,cond_train,cond_test,subject,test_single_trial_accuracy-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus
0,covert,free,PA1,23.333333333333332,16.666666666666668,31.666666666666668,6.666666666666664,8.333333333333336
1,covert,free,PB03,18.333333333333332,10.0,26.666666666666668,8.333333333333332,8.333333333333336
2,covert,free,PB1,33.333333333333336,18.333333333333332,48.333333333333336,15.000000000000004,15.0
3,covert,free,PB2,30.0,18.333333333333332,43.333333333333336,11.666666666666668,13.333333333333336
4,covert,free,PB4,15.0,6.666666666666667,23.333333333333332,8.333333333333332,8.333333333333332
5,covert,free,PC2,21.666666666666668,10.0,31.666666666666668,11.666666666666668,10.0
6,covert,free,PC3,15.0,8.333333333333334,21.666666666666668,6.666666666666666,6.666666666666668
7,covert,free,PC4,31.666666666666668,20.0,41.666666666666664,11.666666666666668,9.999999999999996
