subject_index,cond_train,cond_test,subject,test_single_trial_accuracy-mean,test_single_trial_accuracy-ci_lower,test_single_trial_accuracy-ci_upper,test_single_trial_accuracy-ci_minus,test_single_trial_accuracy-ci_plus
0,covert,covert,PA1,23.333333333333332,16.666666666666668,31.666666666666668,6.666666666666664,8.333333333333336
1,covert,covert,PB1,33.333333333333336,18.333333333333332,48.333333333333336,15.000000000000004,15.0
2,covert,covert,PB2,30.0,18.333333333333332,43.333333333333336,11.666666666666668,13.333333333333336
3,covert,covert,PB4,15.0,6.666666666666667,21.708333333332728,8.333333333333332,6.708333333332728
4,covert,covert,PC2,21.666666666666668,11.666666666666666,31.666666666666668,10.000000000000002,10.0
5,covert,covert,PC3,15.0,6.666666666666667,23.333333333333332,8.333333333333332,8.333333333333332
6,covert,covert,PC4,31.666666666666668,21.666666666666668,41.666666666666664,10.0,9.999999999999996
